                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.63379,                0.77201,                0.44656,                0.92623,                0.89338,                0.91154,                0.93517,                0.77172,                0.88104,                0.89954,                0.92194,                0.68157,                0.77743,                 0.8903,                0.55359,                 1.0467,              0.0078715,              0.0078715,              0.0078715
                     45,                0.62961,                0.77018,                  0.441,                0.92397,                0.91096,                0.90202,                0.93757,                0.77384,                0.90476,                0.89652,                0.92919,                 0.6896,                0.76951,                 0.8938,                0.54209,                 1.0397,               0.007822,               0.007822,               0.007822
                     46,                0.62295,                0.76409,                  0.439,                0.92371,                0.90172,                0.91317,                0.93631,                0.77308,                0.88606,                0.92227,                0.92891,                0.69077,                0.76581,                0.89983,                0.54005,                 1.0464,              0.0077725,              0.0077725,              0.0077725
                     47,                0.61601,                0.75417,                0.43527,                0.92017,                   0.89,                0.91561,                0.93739,                0.77212,                0.87932,                0.90447,                0.92802,                0.69436,                0.76695,                0.91126,                 0.5433,                 1.0473,               0.007723,               0.007723,               0.007723
                     48,                0.61555,                0.75512,                 0.4307,                 0.9203,                0.91323,                0.90308,                0.93951,                0.77459,                 0.9105,                0.89673,                0.93635,                0.68908,                0.76777,                0.90679,                0.54352,                 1.0501,              0.0076735,              0.0076735,              0.0076735
                     49,                0.61257,                0.75411,                0.42452,                0.91725,                0.90484,                 0.8963,                0.93825,                0.77514,                0.89305,                0.88728,                0.92549,                0.69163,                0.76709,                0.89955,                0.55306,                 1.0403,               0.007624,               0.007624,               0.007624
                     50,                0.60829,                0.74583,                0.42142,                0.91474,                0.90985,                0.90903,                0.93997,                0.77498,                0.90197,                0.90221,                0.93108,                0.69274,                0.76887,                 0.9128,                0.54704,                 1.0485,              0.0075745,              0.0075745,              0.0075745
                     51,                0.60322,                0.73842,                0.41647,                0.91255,                0.90524,                 0.9108,                0.93746,                0.77607,                0.89773,                0.90099,                0.92573,                0.69822,                0.76758,                0.91534,                0.55356,                 1.0427,               0.007525,               0.007525,               0.007525
                     52,                0.59694,                0.73742,                0.41394,                0.90925,                0.91647,                0.90826,                0.94123,                0.77437,                  0.908,                0.90246,                0.93028,                0.69916,                 0.7585,                0.90228,                 0.5532,                  1.039,              0.0074755,              0.0074755,              0.0074755
                     53,                0.59404,                0.73484,                0.41207,                0.90925,                0.90397,                0.90558,                 0.9388,                0.77824,                0.89984,                0.90163,                0.93222,                 0.6981,                0.76844,                0.90299,                0.55467,                 1.0457,               0.007426,               0.007426,               0.007426
                     54,                0.58975,                0.72779,                0.40657,                0.90661,                0.90695,                0.90886,                0.93793,                0.77718,                0.90294,                0.90501,                0.93036,                0.69525,                0.76942,                0.92322,                 0.5607,                 1.0489,              0.0073765,              0.0073765,              0.0073765
                     55,                  0.585,                0.72248,                0.40344,                0.90223,                0.89608,                0.91443,                0.93921,                0.78244,                0.92491,                0.88138,                0.93097,                0.69744,                0.76649,                0.90703,                0.54241,                 1.0495,               0.007327,               0.007327,               0.007327
