                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.73688,                 1.2654,                0.62374,                 1.0139,                0.58037,                0.42058,                0.46071,                0.27263,                 0.5701,                0.41455,                0.43316,                0.20311,                 1.6398,                 3.6851,                 1.9092,                 2.1385,               0.006931,               0.006931,               0.006931
                     64,                0.72725,                 1.2469,                0.62116,                 1.0059,                0.57735,                0.44301,                0.46888,                0.27876,                0.66414,                0.42377,                0.43397,                0.20427,                  1.639,                 3.7063,                  1.917,                 2.1346,              0.0068815,              0.0068815,              0.0068815
                     65,                0.72494,                 1.2451,                0.61653,                 1.0065,                0.58358,                  0.441,                0.47461,                0.27959,                0.55726,                0.42439,                0.43819,                0.20518,                  1.641,                 3.7076,                 1.9064,                 2.1392,               0.006832,               0.006832,               0.006832
                     66,                0.72452,                 1.2465,                0.61784,                 1.0048,                0.69714,                0.44702,                0.47259,                0.27916,                0.67172,                0.43266,                0.44215,                0.20725,                 1.6434,                 3.7279,                 1.8936,                 2.1481,              0.0067825,              0.0067825,              0.0067825
                     67,                0.71716,                 1.2242,                   0.61,                 1.0019,                0.58417,                0.44845,                0.47423,                0.27908,                0.56575,                0.43747,                0.45077,                0.21142,                 1.6449,                  3.743,                 1.8972,                 2.1448,               0.006733,               0.006733,               0.006733
                     68,                0.70946,                 1.2175,                0.60275,                0.99994,                0.67513,                0.43289,                0.46499,                0.27515,                0.65514,                0.41899,                0.43487,                0.20435,                 1.6541,                 3.7857,                 1.9293,                 2.1575,              0.0066835,              0.0066835,              0.0066835
                     69,                0.70593,                 1.2137,                0.59893,                0.99398,                0.56902,                0.44151,                0.46587,                0.27456,                0.66023,                0.42548,                0.43042,                0.20391,                 1.6549,                  3.816,                 1.9293,                 2.1622,               0.006634,               0.006634,               0.006634
                     70,                0.70059,                 1.2001,                0.59376,                0.99099,                0.58359,                0.43291,                0.46039,                0.27195,                0.55707,                0.41776,                0.42482,                0.20358,                 1.6554,                 3.8292,                 1.9436,                  2.163,              0.0065845,              0.0065845,              0.0065845
                     71,                0.69826,                  1.188,                0.58418,                0.99031,                0.60294,                0.42967,                 0.4656,                0.27452,                0.57477,                0.41445,                0.43049,                0.20502,                 1.6554,                 3.8429,                  1.953,                 2.1588,               0.006535,               0.006535,               0.006535
                     72,                0.69482,                  1.188,                0.58584,                0.98793,                0.57738,                0.42561,                0.45951,                0.27331,                 0.5507,                0.41104,                0.42641,                0.20348,                 1.6554,                 3.8663,                 1.9589,                 2.1559,              0.0064855,              0.0064855,              0.0064855
                     73,                0.68795,                 1.1692,                0.58033,                0.98468,                0.58583,                 0.4282,                0.46293,                0.27531,                0.56088,                0.41528,                0.43401,                0.20488,                 1.6675,                 3.8842,                 1.9558,                 2.1729,               0.006436,               0.006436,               0.006436
                     74,                0.68503,                  1.164,                0.57815,                0.98255,                 0.5874,                0.43062,                0.46075,                0.27286,                 0.5754,                0.40864,                0.42556,                0.20412,                 1.6711,                 3.8851,                 1.9758,                 2.1838,              0.0063865,              0.0063865,              0.0063865
                     75,                0.68421,                 1.1696,                0.57937,                0.98044,                0.58613,                0.42737,                0.45864,                0.27229,                  0.575,                0.41594,                0.43067,                0.20596,                 1.6748,                 3.8976,                  1.971,                 2.1909,               0.006337,               0.006337,               0.006337
                     76,                0.67788,                 1.1464,                0.57385,                0.97971,                0.58427,                 0.4274,                0.45788,                0.27335,                0.67938,                0.41577,                0.42807,                0.20425,                 1.6713,                 3.9221,                 1.9645,                 2.1911,              0.0062875,              0.0062875,              0.0062875
                     77,                0.67235,                  1.146,                0.56402,                0.97738,                0.69365,                0.42544,                0.45531,                 0.2722,                0.67976,                 0.4093,                0.42342,                0.20308,                 1.6696,                 3.9376,                  1.975,                 2.1907,               0.006238,               0.006238,               0.006238
                     78,                0.66817,                  1.143,                0.56619,                0.97426,                0.57824,                 0.4272,                0.45926,                 0.2754,                0.67716,                 0.4144,                 0.4323,                0.20664,                 1.6646,                  3.945,                 1.9735,                 2.1846,              0.0061885,              0.0061885,              0.0061885
                     79,                0.66506,                 1.1333,                0.56352,                0.97268,                0.69369,                0.42653,                0.45779,                0.27625,                0.67988,                0.41778,                0.43462,                0.20715,                 1.6572,                 3.9402,                 1.9761,                 2.1806,               0.006139,               0.006139,               0.006139
                     80,                0.65968,                 1.1178,                0.55908,                0.96764,                0.69659,                0.42665,                0.45857,                0.27585,                0.68292,                0.41557,                0.43194,                0.20637,                 1.6562,                 3.9472,                 1.9737,                 2.1829,              0.0060895,              0.0060895,              0.0060895
                     81,                0.65534,                 1.1099,                0.55396,                0.96846,                 0.6916,                0.42516,                0.45797,                0.27605,                0.67314,                0.41251,                 0.4293,                 0.2065,                 1.6556,                 3.9615,                 1.9807,                 2.1857,                0.00604,                0.00604,                0.00604
                     82,                0.65646,                 1.1094,                 0.5519,                0.96643,                0.68914,                0.42563,                0.45675,                0.27607,                0.67165,                0.41365,                0.43004,                0.20627,                 1.6522,                 3.9768,                 1.9735,                  2.188,              0.0059905,              0.0059905,              0.0059905
                     83,                0.65193,                 1.1081,                0.54955,                0.96279,                 0.6855,                0.43316,                0.45866,                 0.2776,                 0.6659,                0.42124,                0.42978,                0.20747,                 1.6529,                 3.9815,                 1.9667,                 2.1883,               0.005941,               0.005941,               0.005941
                     84,                0.64721,                 1.1024,                0.54742,                0.96237,                0.57281,                0.43348,                0.46107,                0.27629,                0.66205,                0.41388,                0.42825,                0.20791,                 1.6523,                 4.0026,                 1.9708,                 2.1902,              0.0058915,              0.0058915,              0.0058915
                     85,                0.64526,                 1.0927,                 0.5418,                0.96258,                0.54614,                0.43744,                0.45824,                0.27635,                0.53538,                0.41305,                0.42646,                0.20535,                 1.6518,                 4.0177,                 1.9766,                 2.1942,               0.005842,               0.005842,               0.005842
