                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 2.6976,                 3.4208,                 3.1057,                0.38238,                0.03785,                0.02579,                0.00729,                 2.7127,                 3.5775,                 3.1883,             0.00036294,             0.00036294,             0.00036294
                     59,                 2.7578,                 3.4207,                 3.0714,                 0.3815,                0.05216,                0.03353,                0.01023,                 2.6153,                 3.5536,                 3.1305,             0.00035469,             0.00035469,             0.00035469
                     60,                 2.6126,                 3.3334,                 3.0269,                0.38336,                0.06882,                0.03607,                0.00933,                 2.6187,                 3.5737,                 3.1036,             0.00034644,             0.00034644,             0.00034644
                     61,                 2.6239,                 3.3714,                 2.9937,                0.41493,                0.07902,                0.04867,                0.01526,                 2.6154,                   3.58,                 3.1046,              0.0003382,              0.0003382,              0.0003382
                     62,                 2.5329,                 3.3518,                 3.0084,                0.42518,                0.06472,                0.05759,                0.01844,                 2.6224,                 3.5977,                 3.1068,             0.00032995,             0.00032995,             0.00032995
                     63,                 2.5793,                  3.349,                 3.0296,                0.42139,                0.07178,                0.05668,                0.01907,                 2.5829,                 3.5283,                 3.1094,              0.0003217,              0.0003217,              0.0003217
                     64,                 2.5713,                 3.3196,                 3.0021,                0.44066,                0.08175,                0.06467,                0.02358,                 2.6117,                 3.5923,                 3.0999,             0.00031346,             0.00031346,             0.00031346
                     65,                  2.585,                 3.2942,                 2.9785,                0.44189,                0.08375,                0.06734,                0.02778,                  2.598,                 3.6865,                 3.0777,             0.00030521,             0.00030521,             0.00030521
                     66,                 2.5465,                 3.2476,                 2.9579,                 0.5059,                0.07011,                0.07429,                0.03284,                 2.5043,                 3.6334,                 3.0296,             0.00029696,             0.00029696,             0.00029696
                     67,                 2.4984,                 3.2671,                 2.9882,                0.44977,                0.09885,                0.07443,                 0.0332,                 2.4805,                 3.5788,                 3.0401,             0.00028872,             0.00028872,             0.00028872
                     68,                 2.4988,                 3.3847,                  2.943,                0.46188,                 0.0804,                0.07087,                0.02862,                 2.5055,                 3.4873,                 3.0631,             0.00028047,             0.00028047,             0.00028047
                     69,                 2.5199,                 3.2562,                 2.9923,                0.45168,                0.07756,                0.06998,                0.02843,                 2.4968,                 3.4691,                 3.0664,             0.00027222,             0.00027222,             0.00027222
                     70,                 2.5945,                 3.4279,                 2.9696,                0.39794,                0.10625,                0.06735,                0.02635,                 2.4478,                 3.3968,                 3.0576,             0.00026398,             0.00026398,             0.00026398
                     71,                 2.4734,                 3.3152,                  2.952,                0.43326,                0.06414,                0.14268,                0.04665,                 2.4988,                 3.3848,                 3.0606,             0.00025573,             0.00025573,             0.00025573
                     72,                 2.5427,                 3.3064,                 2.9644,                0.42856,                0.08002,                0.14438,                0.05705,                 2.4586,                 3.3463,                 3.0204,             0.00024748,             0.00024748,             0.00024748
                     73,                 2.3961,                 3.2007,                 2.9244,                 0.4122,                0.09687,                0.10381,                0.04113,                 2.4192,                 3.3296,                 3.0019,             0.00023924,             0.00023924,             0.00023924
                     74,                 2.4119,                 3.2256,                 2.9238,                 0.4341,                 0.1066,                0.10108,                0.03411,                 2.3866,                 3.2967,                 2.9836,             0.00023099,             0.00023099,             0.00023099
                     75,                 2.4835,                  3.266,                  2.938,                0.43855,                 0.1059,                0.10741,                0.03378,                  2.362,                 3.3098,                 2.9463,             0.00022274,             0.00022274,             0.00022274
                     76,                 2.4218,                 3.2546,                 2.9185,                0.42177,                 0.1165,                0.14494,                0.03599,                 2.3405,                 3.2904,                 2.9283,              0.0002145,              0.0002145,              0.0002145
                     77,                 2.4425,                 3.2667,                 2.8547,                0.41303,                0.11124,                0.07303,                0.02813,                  2.339,                 3.2971,                 2.9305,             0.00020625,             0.00020625,             0.00020625
                     78,                 2.3848,                 3.1629,                 2.8847,                0.41959,                0.07181,                0.07119,                0.02955,                 2.3544,                 3.3349,                 2.9488,               0.000198,               0.000198,               0.000198
                     79,                 2.4527,                 3.1964,                 2.8739,                0.61093,                0.07553,                0.07161,                0.03051,                 2.3504,                 3.3534,                 2.9525,             0.00018976,             0.00018976,             0.00018976
                     80,                 2.4991,                 3.1835,                 2.8845,                0.61264,                0.06963,                0.08128,                0.03189,                  2.314,                 3.2586,                 2.9376,             0.00018151,             0.00018151,             0.00018151
                     81,                 2.4664,                 3.2219,                 2.8836,                0.60676,                0.08146,                0.08428,                0.03322,                 2.3069,                 3.2146,                 2.9331,             0.00017326,             0.00017326,             0.00017326
                     82,                 2.3768,                 3.1851,                 2.8543,                0.61991,                0.09354,                0.08403,                0.03385,                 2.3052,                 3.2026,                 2.9288,             0.00016502,             0.00016502,             0.00016502
                     83,                 2.3616,                 3.2319,                 2.8496,                0.62362,                0.09144,                0.08435,                0.03398,                 2.2969,                 3.1957,                 2.9183,             0.00015677,             0.00015677,             0.00015677
                     84,                 2.4509,                 3.2424,                 2.8496,                0.59548,                0.10393,                0.09552,                0.03837,                 2.3411,                 3.1851,                   2.93,             0.00014852,             0.00014852,             0.00014852
                     85,                 2.4202,                 3.1766,                 2.8657,                0.60758,                0.10757,                 0.0944,                0.03869,                  2.367,                 3.1865,                 2.9399,             0.00014028,             0.00014028,             0.00014028
                     86,                 2.4786,                 3.1655,                 2.8327,                0.61212,                0.11722,                0.11325,                0.04042,                 2.3675,                 3.1897,                 2.9346,             0.00013203,             0.00013203,             0.00013203
                     87,                 2.3853,                 3.1262,                 2.7891,                0.61091,                 0.1171,                0.11642,                 0.0399,                 2.3382,                 3.2078,                 2.9153,             0.00012378,             0.00012378,             0.00012378
                     88,                 2.4498,                 3.1205,                 2.8221,                0.59952,                0.10907,                0.10717,                0.04073,                 2.3148,                 3.2354,                 2.8757,             0.00011554,             0.00011554,             0.00011554
                     89,                 2.3835,                 3.1145,                 2.8257,                 0.5948,                0.11602,                0.11212,                0.04412,                  2.296,                 3.2405,                 2.8566,             0.00010729,             0.00010729,             0.00010729
                     90,                 2.3889,                 3.1384,                 2.7746,                0.61933,                0.13733,                 0.1101,                0.04237,                 2.2634,                 3.2208,                 2.8237,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                 2.3946,                 3.6684,                 2.8101,                0.63912,                0.13182,                0.11078,                0.04371,                 2.2579,                 3.2354,                 2.8161,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                 2.2364,                 3.7076,                 2.7976,                0.63757,                 0.1326,                0.10654,                 0.0457,                  2.243,                    3.2,                 2.8088,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                 2.2985,                   3.53,                 2.7987,                0.64786,                0.13023,                0.10714,                0.04564,                 2.2378,                 3.1972,                 2.8131,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                 2.3444,                 3.5457,                  2.801,                0.67472,                0.12019,                0.11066,                 0.0477,                  2.237,                 3.1911,                 2.8262,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                 2.2655,                 3.4111,                 2.8745,                0.69345,                0.10488,                0.11397,                0.04881,                 2.2256,                 3.1993,                 2.8174,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                  2.183,                 3.5021,                 2.8198,                 0.6334,                0.12238,                0.11869,                0.05164,                   2.22,                 3.2032,                 2.8104,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                 2.2111,                 3.4047,                 2.7383,                0.63522,                0.12238,                0.17379,                0.07348,                 2.2159,                 3.2048,                 2.8075,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                  2.272,                 3.4276,                 2.8203,                0.64482,                0.11512,                0.17258,                0.08132,                  2.215,                 3.2085,                 2.8035,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                 2.2241,                 3.4903,                 2.7757,                0.66034,                0.10257,                0.17333,                0.07465,                  2.211,                 3.2149,                 2.7987,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                 2.1965,                 3.3317,                 2.7522,                0.70853,                0.09484,                0.17537,                0.08191,                  2.196,                  3.203,                  2.791,             1.6577e-05,             1.6577e-05,             1.6577e-05
