                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.76143,                0.53832,                  1.168,                0.50199,                0.54856,                0.50113,                0.21219,                  2.265,                 1.5866,                 3.4987,              0.0057925,              0.0057925,              0.0057925
                     87,                0.73437,                0.51624,                 1.1521,                0.51309,                0.49281,                0.44653,                0.20079,                 2.3026,                 1.6367,                 3.5624,               0.005743,               0.005743,               0.005743
                     88,                0.73157,                0.51634,                  1.155,                0.54726,                0.50038,                0.46387,                 0.2016,                 2.2485,                 1.5509,                 3.4804,              0.0056935,              0.0056935,              0.0056935
                     89,                0.72075,                0.50221,                 1.1381,                0.50859,                 0.5471,                0.50002,                 0.2117,                 2.2725,                 1.5563,                 3.5579,               0.005644,               0.005644,               0.005644
                     90,                0.72392,                0.50956,                 1.1399,                0.49862,                0.57306,                0.47035,                0.20884,                 2.2477,                 1.6435,                  3.427,              0.0055945,              0.0055945,              0.0055945
                     91,                0.70602,                0.49297,                 1.1294,                0.49717,                0.53283,                0.45683,                0.19667,                 2.2679,                 1.6592,                 3.5758,               0.005545,               0.005545,               0.005545
                     92,                0.71029,                0.49636,                 1.1323,                0.52385,                0.49779,                 0.4472,                 0.1905,                 2.2772,                 1.6038,                  3.528,              0.0054955,              0.0054955,              0.0054955
                     93,                0.69561,                0.49331,                 1.1255,                0.46366,                0.53045,                0.46827,                0.21071,                 2.2608,                  1.598,                 3.5299,               0.005446,               0.005446,               0.005446
                     94,                0.69932,                0.49145,                 1.1241,                0.53729,                 0.5017,                0.46702,                0.20503,                 2.2347,                 1.6374,                 3.5118,              0.0053965,              0.0053965,              0.0053965
                     95,                0.69514,                0.49412,                 1.1229,                0.53148,                0.54192,                0.47849,                 0.2063,                 2.2344,                  1.621,                 3.4663,               0.005347,               0.005347,               0.005347
                     96,                0.68748,                 0.4836,                 1.1068,                0.52011,                0.47442,                0.45188,                0.21327,                 2.2423,                 1.6403,                 3.5456,              0.0052975,              0.0052975,              0.0052975
                     97,                0.67386,                0.47802,                 1.1093,                0.47919,                0.51079,                0.45745,                0.20136,                 2.2633,                 1.6367,                 3.5037,               0.005248,               0.005248,               0.005248
